raw_values,node,time_idx,series,node_values
-0.999,-204.739,317,0,-204.739
-0.999,-205.738,318,0,-205.738
-0.999,-206.737,319,0,-206.737
-0.999,-207.736,320,0,-207.736
1,-206.736,321,0,-206.736
-0.999,-207.735,322,0,-207.735
1,-206.735,323,0,-206.735
1,-205.735,324,0,-205.735
-0.999,-206.734,325,0,-206.734
-0.999,-207.733,326,0,-207.733
1,-206.733,327,0,-206.733
-0.999,-207.732,328,0,-207.732
-0.999,-208.731,329,0,-208.731
-0.999,-209.73,330,0,-209.73
-0.999,-210.729,331,0,-210.729
-0.999,-211.728,332,0,-211.728
1,-210.728,333,0,-210.728
-0.999,-211.727,334,0,-211.727
1,-210.727,335,0,-210.727
-0.999,-211.726,336,0,-211.726
1,-210.726,337,0,-210.726
-0.999,-211.725,338,0,-211.725
-0.999,-212.724,339,0,-212.724
-0.999,-213.723,340,0,-213.723
-0.999,-214.722,341,0,-214.722
-0.999,-215.721,342,0,-215.721
-0.999,-216.72,343,0,-216.72
-0.999,-217.719,344,0,-217.719
1,-216.719,345,0,-216.719
-0.999,-217.718,346,0,-217.718
-0.999,-218.717,347,0,-218.717
-0.999,-219.716,348,0,-219.716
-0.999,-220.715,349,0,-220.715
-0.999,-221.714,350,0,-221.714
-0.999,-222.713,351,0,-222.713
-0.999,-223.712,352,0,-223.712
-0.999,-224.711,353,0,-224.711
-0.999,-225.71,354,0,-225.71
-0.999,-226.709,355,0,-226.709
-0.999,-227.708,356,0,-227.708
-0.999,-228.707,357,0,-228.707
-0.999,-229.706,358,0,-229.706
-0.999,-230.705,359,0,-230.705
-0.999,-231.704,360,0,-231.704
-0.999,-232.703,361,0,-232.703
-0.999,-233.702,362,0,-233.702
-0.999,-234.701,363,0,-234.701
-0.999,-235.7,364,0,-235.7
-0.999,-236.699,365,0,-236.699
-0.999,-237.698,366,0,-237.698
1,-236.698,367,0,-236.698
-0.999,-237.697,368,0,-237.697
-0.999,-238.696,369,0,-238.696
-0.999,-239.695,370,0,-239.695
-0.999,-240.694,371,0,-240.694
-0.999,-241.693,372,0,-241.693
-0.999,-242.692,373,0,-242.692
1,-241.692,374,0,-241.692
-0.999,-242.691,375,0,-242.691
1,-241.691,376,0,-241.691
-0.999,-242.69,377,0,-242.69
1,-241.69,378,0,-241.69
-0.999,-242.689,379,0,-242.689
1,-241.689,380,0,-241.689
-0.999,-242.688,381,0,-242.688
-0.999,-243.687,382,0,-243.687
-0.999,-244.686,383,0,-244.686
-0.999,-245.685,384,0,-245.685
-0.999,-246.684,385,0,-246.684
-0.999,-247.683,386,0,-247.683
1,-246.683,387,0,-246.683
-0.999,-247.682,388,0,-247.682
1,-246.682,389,0,-246.682
-0.999,-247.681,390,0,-247.681
-0.999,-248.68,391,0,-248.68
-0.999,-249.679,392,0,-249.679
-0.999,-250.678,393,0,-250.678
1,-249.678,394,0,-249.678
-0.999,-250.677,395,0,-250.677
1,-249.677,396,0,-249.677
-0.999,-250.676,397,0,-250.676
1,-249.676,398,0,-249.676
-0.999,-250.675,399,0,-250.675
1,-249.675,400,0,-249.675
-0.999,-250.674,401,0,-250.674
-0.999,-251.673,402,0,-251.673
-0.999,-252.672,403,0,-252.672
-0.999,-253.671,404,0,-253.671
-0.999,-254.67,405,0,-254.67
-0.999,-255.669,406,0,-255.669
-0.999,-256.668,407,0,-256.668
-0.999,-257.667,408,0,-257.667
-0.999,-258.666,409,0,-258.666
-0.999,-259.665,410,0,-259.665
-0.999,-260.664,411,0,-260.664
1,-259.664,412,0,-259.664
-0.999,-260.663,413,0,-260.663
-0.999,-261.662,414,0,-261.662
1,-260.662,415,0,-260.662
-0.999,-261.661,416,0,-261.661
1,-260.661,417,0,-260.661
-0.999,-261.66,418,0,-261.66
-0.999,-262.659,419,0,-262.659
-0.999,-263.658,420,0,-263.658
-0.999,-264.657,421,0,-264.657
-0.999,-265.656,422,0,-265.656
-0.999,-266.655,423,0,-266.655
-0.999,-267.654,424,0,-267.654
-0.999,-268.653,425,0,-268.653
-0.999,-269.652,426,0,-269.652
1,-268.652,427,0,-268.652
-0.999,-269.651,428,0,-269.651
-0.999,-270.65,429,0,-270.65
1,-269.65,430,0,-269.65
-0.999,-270.649,431,0,-270.649
-0.999,-271.648,432,0,-271.648
-0.999,-272.647,433,0,-272.647
-0.999,-273.646,434,0,-273.646
-0.999,-274.645,435,0,-274.645
-0.999,-275.644,436,0,-275.644
-0.999,-276.643,437,0,-276.643
-0.999,-277.642,438,0,-277.642
-0.999,-278.641,439,0,-278.641
1,-277.641,440,0,-277.641
-0.999,-278.64,441,0,-278.64
-0.999,-279.639,442,0,-279.639
-0.999,-280.638,443,0,-280.638
-0.999,-281.637,444,0,-281.637
1,-280.637,445,0,-280.637
-0.999,-281.636,446,0,-281.636
-0.999,-282.635,447,0,-282.635
-0.999,-283.634,448,0,-283.634
-0.999,-284.633,449,0,-284.633
1,-283.633,450,0,-283.633
-0.999,-284.632,451,0,-284.632
-0.999,-285.631,452,0,-285.631
1,-284.631,453,0,-284.631
-0.999,-285.63,454,0,-285.63
-0.999,-286.629,455,0,-286.629
-0.999,-287.628,456,0,-287.628
-0.999,-288.627,457,0,-288.627
-0.999,-289.626,458,0,-289.626
-0.999,-290.625,459,0,-290.625
-0.999,-291.624,460,0,-291.624
-0.999,-292.623,461,0,-292.623
-0.999,-293.622,462,0,-293.622
-0.999,-294.621,463,0,-294.621
-0.999,-295.62,464,0,-295.62
-0.999,-296.619,465,0,-296.619
-0.999,-297.618,466,0,-297.618
-0.999,-298.617,467,0,-298.617
-0.999,-299.616,468,0,-299.616
-0.999,-300.615,469,0,-300.615
-0.999,-301.614,470,0,-301.614
-0.999,-302.613,471,0,-302.613
-0.999,-303.612,472,0,-303.612
-0.999,-304.611,473,0,-304.611
1,-303.611,474,0,-303.611
-0.999,-304.61,475,0,-304.61
-0.999,-305.609,476,0,-305.609
1,-304.609,477,0,-304.609
-0.999,-305.608,478,0,-305.608
-0.999,-306.607,479,0,-306.607
-0.999,-307.606,480,0,-307.606
-0.999,-308.605,481,0,-308.605
1,-307.605,482,0,-307.605
-0.999,-308.604,483,0,-308.604
1,-307.604,484,0,-307.604
-0.999,-308.603,485,0,-308.603
-0.999,-309.602,486,0,-309.602
