Raw Letters,Raw Values,time_idx,node_values,series
w,-0.999,416,-199.692,0
q,1,417,-198.692,0
w,-0.999,418,-199.691,0
w,-0.999,419,-200.69,0
w,-0.999,420,-201.689,0
w,-0.999,421,-202.688,0
q,1,422,-201.688,0
w,-0.999,423,-202.687,0
q,1,424,-201.687,0
w,-0.999,425,-202.686,0
w,-0.999,426,-203.685,0
w,-0.999,427,-204.684,0
q,1,428,-203.684,0
w,-0.999,429,-204.683,0
q,1,430,-203.683,0
w,-0.999,431,-204.682,0
w,-0.999,432,-205.681,0
w,-0.999,433,-206.68,0
q,1,434,-205.68,0
w,-0.999,435,-206.679,0
w,-0.999,436,-207.678,0
w,-0.999,437,-208.677,0
w,-0.999,438,-209.676,0
w,-0.999,439,-210.675,0
w,-0.999,440,-211.674,0
q,1,441,-210.674,0
w,-0.999,442,-211.673,0
w,-0.999,443,-212.672,0
w,-0.999,444,-213.671,0
w,-0.999,445,-214.67,0
w,-0.999,446,-215.669,0
q,1,447,-214.669,0
w,-0.999,448,-215.668,0
q,1,449,-214.668,0
q,1,450,-213.668,0
w,-0.999,451,-214.667,0
q,1,452,-213.667,0
w,-0.999,453,-214.666,0
q,1,454,-213.666,0
w,-0.999,455,-214.665,0
w,-0.999,456,-215.664,0
w,-0.999,457,-216.663,0
q,1,458,-215.663,0
w,-0.999,459,-216.662,0
q,1,460,-215.662,0
w,-0.999,461,-216.661,0
w,-0.999,462,-217.66,0
w,-0.999,463,-218.659,0
w,-0.999,464,-219.658,0
w,-0.999,465,-220.657,0
w,-0.999,466,-221.656,0
w,-0.999,467,-222.655,0
w,-0.999,468,-223.654,0
w,-0.999,469,-224.653,0
w,-0.999,470,-225.652,0
w,-0.999,471,-226.651,0
w,-0.999,472,-227.65,0
w,-0.999,473,-228.649,0
w,-0.999,474,-229.648,0
w,-0.999,475,-230.647,0
q,1,476,-229.647,0
w,-0.999,477,-230.646,0
w,-0.999,478,-231.645,0
w,-0.999,479,-232.644,0
w,-0.999,480,-233.643,0
w,-0.999,481,-234.642,0
w,-0.999,482,-235.641,0
w,-0.999,483,-236.64,0
q,1,484,-235.64,0
w,-0.999,485,-236.639,0
w,-0.999,486,-237.638,0
w,-0.999,487,-238.637,0
w,-0.999,488,-239.636,0
w,-0.999,489,-240.635,0
w,-0.999,490,-241.634,0
q,1,491,-240.634,0
w,-0.999,492,-241.633,0
q,1,493,-240.633,0
w,-0.999,494,-241.632,0
w,-0.999,495,-242.631,0
q,1,496,-241.631,0
w,-0.999,497,-242.63,0
w,-0.999,498,-243.629,0
w,-0.999,499,-244.628,0
q,1,500,-243.628,0
w,-0.999,501,-244.627,0
w,-0.999,502,-245.626,0
w,-0.999,503,-246.625,0
w,-0.999,504,-247.624,0
q,1,505,-246.624,0
w,-0.999,506,-247.623,0
q,1,507,-246.623,0
w,-0.999,508,-247.622,0
w,-0.999,509,-248.621,0
w,-0.999,510,-249.62,0
w,-0.999,511,-250.619,0
q,1,512,-249.619,0
w,-0.999,513,-250.618,0
q,1,514,-249.618,0
q,1,515,-248.618,0
w,-0.999,516,-249.617,0
w,-0.999,517,-250.616,0
w,-0.999,518,-251.615,0
w,-0.999,519,-252.614,0
w,-0.999,520,-253.613,0
w,-0.999,521,-254.612,0
w,-0.999,522,-255.611,0
w,-0.999,523,-256.61,0
w,-0.999,524,-257.609,0
q,1,525,-256.609,0
w,-0.999,526,-257.608,0
w,-0.999,527,-258.607,0
w,-0.999,528,-259.606,0
w,-0.999,529,-260.605,0
w,-0.999,530,-261.604,0
w,-0.999,531,-262.603,0
w,-0.999,532,-263.602,0
w,-0.999,533,-264.601,0
w,-0.999,534,-265.6,0
w,-0.999,535,-266.599,0
w,-0.999,536,-267.598,0
w,-0.999,537,-268.597,0
w,-0.999,538,-269.596,0
w,-0.999,539,-270.595,0
w,-0.999,540,-271.594,0
w,-0.999,541,-272.593,0
w,-0.999,542,-273.592,0
w,-0.999,543,-274.591,0
w,-0.999,544,-275.59,0
q,1,545,-274.59,0
w,-0.999,546,-275.589,0
q,1,547,-274.589,0
w,-0.999,548,-275.588,0
q,1,549,-274.588,0
q,1,550,-273.588,0
w,-0.999,551,-274.587,0
w,-0.999,552,-275.586,0
w,-0.999,553,-276.585,0
w,-0.999,554,-277.584,0
w,-0.999,555,-278.583,0
w,-0.999,556,-279.582,0
q,1,557,-278.582,0
w,-0.999,558,-279.581,0
w,-0.999,559,-280.58,0
w,-0.999,560,-281.579,0
w,-0.999,561,-282.578,0
q,1,562,-281.578,0
w,-0.999,563,-282.577,0
q,1,564,-281.577,0
w,-0.999,565,-282.576,0
w,-0.999,566,-283.575,0
w,-0.999,567,-284.574,0
w,-0.999,568,-285.573,0
w,-0.999,569,-286.572,0
w,-0.999,570,-287.571,0
w,-0.999,571,-288.57,0
w,-0.999,572,-289.569,0
w,-0.999,573,-290.568,0
w,-0.999,574,-291.567,0
q,1,575,-290.567,0
w,-0.999,576,-291.566,0
w,-0.999,577,-292.565,0
q,1,578,-291.565,0
w,-0.999,579,-292.564,0
w,-0.999,580,-293.563,0
w,-0.999,581,-294.562,0
q,1,582,-293.562,0
w,-0.999,583,-294.561,0
w,-0.999,584,-295.56,0
w,-0.999,585,-296.559,0
w,-0.999,586,-297.558,0
w,-0.999,587,-298.557,0
w,-0.999,588,-299.556,0
w,-0.999,589,-300.555,0
